Foundation URI,Linearization (release) URI,8Y,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2021 May 11 - 22:00 UTC
http://id.who.int/icd/entity/971176543,http://id.who.int/icd/release/11/2021-05/mms/971176543,1B72,,Impetigo,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/25824900,http://id.who.int/icd/release/11/2021-05/mms/25824900,1B72.1,,Non-bullous Impetigo,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/337308923,http://id.who.int/icd/release/11/2021-05/mms/337308923,1B73,,Ecthyma,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/1081137172,http://id.who.int/icd/release/11/2021-05/mms/1081137172,1B75.0,,Furuncle,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/1456834066,http://id.who.int/icd/release/11/2021-05/mms/1456834066,1B75.1,,Carbuncle,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/1194531705,http://id.who.int/icd/release/11/2021-05/mms/1194531705,1B75.2,,Furunculosis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B7,,,,,
http://id.who.int/icd/entity/1026551291,http://id.who.int/icd/release/11/2021-05/mms/1026551291,1B90,,Rat-bite fevers,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1104357482,http://id.who.int/icd/release/11/2021-05/mms/1104357482,1B90.0,,Spirillosis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/614000128,http://id.who.int/icd/release/11/2021-05/mms/614000128,1B90.1,,Streptobacillosis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/751399056,http://id.who.int/icd/release/11/2021-05/mms/751399056,1B91,,Leptospirosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1563156715,http://id.who.int/icd/release/11/2021-05/mms/1563156715,1B92,,Glanders,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2021-05/mms/1596449540,1B93,,Plague,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2021-05/mms/980168338,1B94,,Tularaemia,category,1,FALSE,TRUE,1,browser,iCat,FALSE,1,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/730510331,http://id.who.int/icd/release/11/2021-05/mms/730510331,1B95,,Brucellosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1233304838,http://id.who.int/icd/release/11/2021-05/mms/1233304838,1B96,,Erysipeloid,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2021-05/mms/1321303663,1B97,,Anthrax,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/2003001085,http://id.who.int/icd/release/11/2021-05/mms/2003001085,1B98,,Cat-scratch disease,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/304649065,http://id.who.int/icd/release/11/2021-05/mms/304649065,1B99,,Pasteurellosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1B9,,,,,
http://id.who.int/icd/entity/1697630330,http://id.who.int/icd/release/11/2021-05/mms/1697630330,1C10,,Actinomycosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/1938462328,http://id.who.int/icd/release/11/2021-05/mms/1938462328,1C11,,Bartonellosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/1793762788,http://id.who.int/icd/release/11/2021-05/mms/1793762788,1C13,,Tetanus,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/508032285,http://id.who.int/icd/release/11/2021-05/mms/508032285,1C17,,Diphtheria,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/390042715,http://id.who.int/icd/release/11/2021-05/mms/390042715,1C19,,Legionellosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/419706488,http://id.who.int/icd/release/11/2021-05/mms/419706488,1C1A,,Listeriosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/6555116,http://id.who.int/icd/release/11/2021-05/mms/6555116,1C1B,,Nocardiosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/2072098125,http://id.who.int/icd/release/11/2021-05/mms/2072098125,1C1C.1,,Waterhouse-Friderichsen syndrome,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/832233624,http://id.who.int/icd/release/11/2021-05/mms/832233624,1C1C.2,,Meningococcaemia,category,2,FALSE,TRUE,1,browser,iCat,FALSE,1,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/840525023,http://id.who.int/icd/release/11/2021-05/mms/840525023,1C1D,,Yaws,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/1465035083,http://id.who.int/icd/release/11/2021-05/mms/1465035083,1C1E,,Pinta,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/923521593,http://id.who.int/icd/release/11/2021-05/mms/923521593,1C1J.0,,Tick-borne relapsing fever,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/1379934125,http://id.who.int/icd/release/11/2021-05/mms/1379934125,1C1J.1,,Louse-borne relapsing fever,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/372424530,http://id.who.int/icd/release/11/2021-05/mms/372424530,1C23,,Trachoma,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1C1,BlockL2-1C2,,,,
http://id.who.int/icd/entity/1981846,http://id.who.int/icd/release/11/2021-05/mms/1981846,,BlockL2-1C3,Rickettsioses,block,2,FALSE,TRUE,1,browser,iCat,FALSE,4,,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/1005140361,http://id.who.int/icd/release/11/2021-05/mms/1005140361,1C32,,Rickettsialpox,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,BlockL2-1C3,,,,
http://id.who.int/icd/entity/1012026026,http://id.who.int/icd/release/11/2021-05/mms/1012026026,1C40,,Campylobacteriosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/2129350166,http://id.who.int/icd/release/11/2021-05/mms/2129350166,1C42,,Melioidosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/168432503,http://id.who.int/icd/release/11/2021-05/mms/168432503,1C43,,Actinomycetoma,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/698540116,http://id.who.int/icd/release/11/2021-05/mms/698540116,1C44,,Non-pyogenic bacterial infections of the skin,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C1,,,,,
http://id.who.int/icd/entity/854762584,http://id.who.int/icd/release/11/2021-05/mms/854762584,1C82,,Rabies,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1C8,,,,,
http://id.who.int/icd/entity/1585949804,http://id.who.int/icd/release/11/2021-05/mms/1585949804,,BlockL1-1D0,Non-viral and unspecified infections of the central nervous system,block,1,FALSE,TRUE,1,browser,iCat,FALSE,6,,,,,,,
,http://id.who.int/icd/release/11/2021-05/mms/1585949804/unspecified,1D0Z,,"Non-viral and unspecified infections of the central nervous system,unspecified",category,1,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1D0,,,,,
http://id.who.int/icd/entity/1959883044,http://id.who.int/icd/release/11/2021-05/mms/1959883044,,BlockL1-1D2,Dengue,block,1,FALSE,TRUE,1,browser,iCat,FALSE,3,,,,,,,
http://id.who.int/icd/entity/1562906700,http://id.who.int/icd/release/11/2021-05/mms/1562906700,1D49,,Crimean-Congo haemorrhagic fever,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1D4,,,,,
,http://id.who.int/icd/release/11/2021-05/mms/921595235/unspecified,1D4Z,,"Arthropod-borne viral fever,virus unspecified",category,1,TRUE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1D4,,,,,
http://id.who.int/icd/entity/1208294714,http://id.who.int/icd/release/11/2021-05/mms/1208294714,1D80,,Mumps,category,1,FALSE,TRUE,1,browser,iCat,FALSE,5,TRUE,BlockL1-1D8,,,,,
http://id.who.int/icd/entity/145723401,http://id.who.int/icd/release/11/2021-05/mms/145723401,,BlockL1-1E3,Influenza,block,1,FALSE,TRUE,1,browser,iCat,FALSE,3,,,,,,,
http://id.who.int/icd/entity/2054716425,http://id.who.int/icd/release/11/2021-05/mms/2054716425,1.00E+70,,Smallpox,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/160886685,http://id.who.int/icd/release/11/2021-05/mms/160886685,1.00E+71,,Monkeypox,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/1205745537,http://id.who.int/icd/release/11/2021-05/mms/1205745537,1.00E+72,,Cowpox,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/1275065853,http://id.who.int/icd/release/11/2021-05/mms/1275065853,1.00E+73,,Vaccinia,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/444002285,http://id.who.int/icd/release/11/2021-05/mms/444002285,1.00E+74,,Buffalopox,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/111540068,http://id.who.int/icd/release/11/2021-05/mms/111540068,1.00E+75,,Orf,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1E7,BlockL2-1E7,,,,
http://id.who.int/icd/entity/1805574500,http://id.who.int/icd/release/11/2021-05/mms/1805574500,1.00E+90,,Varicella,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1E7,BlockL2-1E9,,,,
http://id.who.int/icd/entity/523481501,http://id.who.int/icd/release/11/2021-05/mms/523481501,1.00E+91,,Zoster,category,1,FALSE,TRUE,1,browser,iCat,FALSE,6,TRUE,BlockL1-1E7,BlockL2-1E9,,,,
http://id.who.int/icd/entity/410022648,http://id.who.int/icd/release/11/2021-05/mms/410022648,1F02,,Rubella,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1E7,,,,,
http://id.who.int/icd/entity/1826431497,http://id.who.int/icd/release/11/2021-05/mms/1826431497,1F03,,Measles,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1E7,,,,,
http://id.who.int/icd/entity/1939815950,http://id.who.int/icd/release/11/2021-05/mms/1939815950,,BlockL1-1F2,Mycoses,block,1,FALSE,TRUE,1,browser,iCat,FALSE,22,,,,,,,
http://id.who.int/icd/entity/1913468488,http://id.who.int/icd/release/11/2021-05/mms/1913468488,1F20,,Aspergillosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/2043496606,http://id.who.int/icd/release/11/2021-05/mms/2043496606,1F20.1,,Non-invasive Aspergillosis,category,2,FALSE,TRUE,1,browser,iCat,FALSE,6,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/2087283296,http://id.who.int/icd/release/11/2021-05/mms/2087283296,1F21,,Basidiobolomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1968108845,http://id.who.int/icd/release/11/2021-05/mms/1968108845,1F22,,Blastomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/2055968951,http://id.who.int/icd/release/11/2021-05/mms/2055968951,1F23,,Candidosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1438584733,http://id.who.int/icd/release/11/2021-05/mms/1438584733,1F24,,Chromoblastomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/132287989,http://id.who.int/icd/release/11/2021-05/mms/132287989,1F25,,Coccidioidomycosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1326582778,http://id.who.int/icd/release/11/2021-05/mms/1326582778,1F26,,Conidiobolomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/390527954,http://id.who.int/icd/release/11/2021-05/mms/390527954,1F27,,Cryptococcosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1802307036,http://id.who.int/icd/release/11/2021-05/mms/1802307036,1F28,,Dermatophytosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,6,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1449494917,http://id.who.int/icd/release/11/2021-05/mms/1449494917,1F28.4,,Kerion,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1866587875,http://id.who.int/icd/release/11/2021-05/mms/1866587875,1F29,,Eumycetoma,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1303003466,http://id.who.int/icd/release/11/2021-05/mms/1303003466,1F2A,,Histoplasmosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/566562143,http://id.who.int/icd/release/11/2021-05/mms/566562143,1F2B,,Lobomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1676389165,http://id.who.int/icd/release/11/2021-05/mms/1676389165,1F2C,,Mucormycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/532698403,http://id.who.int/icd/release/11/2021-05/mms/532698403,1F2D,,Non-dermatophyte superficial dermatomycoses,category,1,FALSE,TRUE,1,browser,iCat,FALSE,6,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/268777657,http://id.who.int/icd/release/11/2021-05/mms/268777657,1F2E,,Paracoccidioidomycosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/547567937,http://id.who.int/icd/release/11/2021-05/mms/547567937,1F2F,,Phaeohyphomycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/404370038,http://id.who.int/icd/release/11/2021-05/mms/404370038,1F2G,,Pneumocystosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,1,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/807637046,http://id.who.int/icd/release/11/2021-05/mms/807637046,1F2H,,Scedosporiosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/579570784,http://id.who.int/icd/release/11/2021-05/mms/579570784,1F2J,,Sporotrichosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/646368820,http://id.who.int/icd/release/11/2021-05/mms/646368820,1F2K,,Talaromycosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1357848258,http://id.who.int/icd/release/11/2021-05/mms/1357848258,1F2L,,Emmonsiosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F2,,,,,
http://id.who.int/icd/entity/1439886552,http://id.who.int/icd/release/11/2021-05/mms/1439886552,,BlockL2-1F4,Malaria,block,2,FALSE,TRUE,1,browser,iCat,FALSE,6,,BlockL1-1F4,,,,,
http://id.who.int/icd/entity/289875029,http://id.who.int/icd/release/11/2021-05/mms/289875029,1F50,,Acanthamoebiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1947003329,http://id.who.int/icd/release/11/2021-05/mms/1947003329,1F52,,Babesiosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1082373067,http://id.who.int/icd/release/11/2021-05/mms/1082373067,1F54,,Leishmaniasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,3,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1709864108,http://id.who.int/icd/release/11/2021-05/mms/1709864108,1F55,,Naegleriasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1150206155,http://id.who.int/icd/release/11/2021-05/mms/1150206155,1F56,,Rhinosporidiosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/738999268,http://id.who.int/icd/release/11/2021-05/mms/738999268,1F57,,Toxoplasmosis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,4,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1021483422,http://id.who.int/icd/release/11/2021-05/mms/1021483422,1F58,,Microsporidiosis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F5,,,,
http://id.who.int/icd/entity/1786908147,http://id.who.int/icd/release/11/2021-05/mms/1786908147,,BlockL2-1F6,Helminthiases,block,2,FALSE,TRUE,1,browser,iCat,FALSE,5,,BlockL1-1F4,,,,,
http://id.who.int/icd/entity/1768378720,http://id.who.int/icd/release/11/2021-05/mms/1768378720,1F60,,Angiostrongyliasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,2,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/2005274000,http://id.who.int/icd/release/11/2021-05/mms/2005274000,1F61,,Anisakiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/17842540,http://id.who.int/icd/release/11/2021-05/mms/17842540,1F62,,Ascariasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/839653996,http://id.who.int/icd/release/11/2021-05/mms/839653996,1F63,,Capillariasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,1,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/1662537619,http://id.who.int/icd/release/11/2021-05/mms/1662537619,1F64,,Dracunculiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/580098307,http://id.who.int/icd/release/11/2021-05/mms/580098307,1F65,,Enterobiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/1975325075,http://id.who.int/icd/release/11/2021-05/mms/1975325075,1F66,,Filariasis,category,1,FALSE,TRUE,1,browser,iCat,FALSE,5,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/709184369,http://id.who.int/icd/release/11/2021-05/mms/709184369,1F66.0,,Loiasis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/1504434405,http://id.who.int/icd/release/11/2021-05/mms/1504434405,1F66.1,,Mansonelliasis,category,2,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
http://id.who.int/icd/entity/263366843,http://id.who.int/icd/release/11/2021-05/mms/263366843,1F67,,Gnathostomiasis,category,1,FALSE,TRUE,1,browser,iCat,TRUE,0,TRUE,BlockL1-1F4,BlockL2-1F6,BlockL3-1F6,,,
